"Specification","Session Id","Mode","BkpType","Client","Mount Point","Object Status","End Time"
"Oracle8 SCC_BKP_CAT_STRLGPR_RAC_ARC_FULL_DAILY","2022/06/21-87","full","Oracle8","tslprraps1.delphidrive.com","SCC_BKP_CAT_STRLGPR_RAC_ARC_FULL_DAILY<STRLGPR_78119:1107933517:1>.dbf","Completed","6/21/2022 7:20:06 AM"
"Oracle8 SCC_BKP_CAT_STRLGPR_RAC_ARC_FULL_DAILY","2022/06/21-87","full","Oracle8","tslprraps1.delphidrive.com","c-1285565174-20220621-0a","Completed","6/21/2022 7:20:06 AM"
"Oracle8 GSL10304_ROIADB01_SPCIA_RMAN_ARC_ST","2022/06/21-88","full","Oracle8","roiadb01.delphidrive.com","GSL10304_ROIADB01_SPCIA_RMAN_ARC_ST<SPCIA_3780:1107959382:1>.dbf","Completed","6/21/2022 7:36:28 AM"
"Oracle8 GSL10304_ROIADB01_SPCIA_RMAN_ARC_ST","2022/06/21-88","full","Oracle8","roiadb01.delphidrive.com","c-507526404-20220621-01","Completed","6/21/2022 7:36:28 AM"
"Oracle8 GSL10304_ROIADB01_TPUMPPR1_RMAN_ARC_ST","2022/06/21-89","full","Oracle8","roiadb01.delphidrive.com","GSL10304_ROIADB01_TPUMPPR1_RMAN_ARC_ST<TPUMPPR1_17050:1107959769:1>.dbf","Completed","6/21/2022 7:53:30 AM"
"Oracle8 GSL10304_ROIADB01_TPUMPPR1_RMAN_ARC_ST","2022/06/21-89","full","Oracle8","roiadb01.delphidrive.com","c-1705613593-20220621-00","Completed","6/21/2022 7:53:30 AM"
"Oracle8 SCC_BKP_CAT_STRLGPR_RAC_ARC_FULL_DAILY","2022/06/21-91","full","Oracle8","tslprraps1.delphidrive.com","SCC_BKP_CAT_STRLGPR_RAC_ARC_FULL_DAILY<STRLGPR_78121:1107935328:1>.dbf","Completed","6/21/2022 7:51:13 AM"
"Oracle8 SCC_BKP_CAT_STRLGPR_RAC_ARC_FULL_DAILY","2022/06/21-91","full","Oracle8","tslprraps1.delphidrive.com","c-1285565174-20220621-0b","Completed","6/21/2022 7:51:13 AM"
"GSL_10420_CNSDYNT-AP02_DAILY","2022/06/21-92","incr1","WinFS","cnsdynt-ap02.delphidrive.com","\\?\Volume{84738fe2-9921-11e3-93ef-e839352d882c}\","Completed","6/21/2022 8:28:45 AM"
"GSL_10420_CNSDYNT-AP02_DAILY","2022/06/21-92","incr1","WinFS","cnsdynt-ap02.delphidrive.com","/CONFIGURATION","Completed","6/21/2022 8:28:45 AM"
"GSL_10420_CNSDYNT-AP02_DAILY","2022/06/21-92","incr1","WinFS","cnsdynt-ap02.delphidrive.com","/C","Completed","6/21/2022 8:28:45 AM"
"GSL_10420_CNSDYNT-AP02_DAILY","2022/06/21-92","incr1","WinFS","cnsdynt-ap02.delphidrive.com","/D","Completed","6/21/2022 8:28:45 AM"
"GSL_10420_CNSDYNT-AP02_DAILY","2022/06/21-92","incr1","WinFS","cnsdynt-ap02.delphidrive.com","/E","Completed","6/21/2022 8:28:45 AM"
"GSL_10420_CNSDYNT-AP02_DAILY","2022/06/21-92","incr1","WinFS","cnsdynt-ap02.delphidrive.com","/F","Completed","6/21/2022 8:28:45 AM"
"Oracle8 GSL269_TRIZDA01_IZMIRMESPR1_RMAN_ARC_ST","2022/06/21-93","full","Oracle8","trizda01.delphidrive.com","GSL269_TRIZDA01_IZMIRMESPR1_RMAN_ARC_ST<IZMIRMESPR1_47351:1107961168:1>.dbf","Completed","6/21/2022 8:04:37 AM"
"Oracle8 GSL269_TRIZDA01_IZMIRMESPR1_RMAN_ARC_ST","2022/06/21-93","full","DP","trizda01.delphidrive.com","IZMIRMESPR1","Managed","6/21/2022 8:04:37 AM"
"Oracle8 SCC_BKP_CAT_PR1_ARC_FULL_DAILY","2022/06/21-94","full","Oracle8","dtpr1dbc.delphidrive.com","SCC_BKP_CAT_PR1_ARC_FULL_DAILY<PR1_146847:1107957588:1>.dbf","Completed","6/21/2022 8:03:57 AM"
"Oracle8 SCC_BKP_CAT_PR1_ARC_FULL_DAILY","2022/06/21-94","full","Oracle8","dtpr1dbc.delphidrive.com","c-3552336000-20220621-0f","Completed","6/21/2022 8:03:57 AM"
"Oracle8 SCC_BKP_CAT_SCCPR1_ARC_FULL_DAILY","2022/06/21-95","full","Oracle8","tslprsfdbc.delphidrive.com","SCC_BKP_CAT_SCCPR1_ARC_FULL_DAILY<SCCPR1_127207:1107935972:1>.dbf","Completed","6/21/2022 8:00:49 AM"
"Oracle8 SCC_BKP_CAT_SCCPR1_ARC_FULL_DAILY","2022/06/21-95","full","Oracle8","tslprsfdbc.delphidrive.com","SCC_BKP_CAT_SCCPR1_ARC_FULL_DAILY<SCCPR1_127208:1107935972:1>.dbf","Completed","6/21/2022 8:00:49 AM"
