Client_Name,Error_Code,Status,Last_Full_Date,Last_Full_Size,Gap_In_Full,Last_Incr_Date,Incr_Size,Incr_gap
BASAPOPRDAPPV26.be.xchanginghosting.com,0,Successfull,10/01/2021,135190052,6,10/07/2021,2339946,0
BASGTCPRDPRNV01,0,Successfull,10/01/2021,80920732,6,10/06/2021,80418690,1
BASGTCPRDPRNV02,0,Successfull,10/01/2021,80585135,6,10/06/2021,80414075,1
BASIRSPRDAPPV01,0,Successfull,10/01/2021,88406469,6,10/06/2021,88335168,1
BASIRSPRDCTXV01,0,Successfull,10/01/2021,23530590,6,10/06/2021,23282995,1
BASIRSPRDCTXV02,0,Successfull,10/02/2021,64821125,5,10/06/2021,64472194,1
BASIRSPRDFPSV01,0,Successfull,10/01/2021,66794566,6,10/06/2021,66293750,1
BASIRSPRDSQLV01,0,Successfull,10/01/2021,43113905,6,10/06/2021,42904477,1
BASISWPRDSQLV02,0,Successfull,10/02/2021,175050569,5,10/06/2021,172903676,1
BASMARBOT,0,Successfull,10/02/2021,33703049,5,10/07/2021,33394101,0
BASMARCORADCV01,0,Successfull,10/02/2021,42121529,5,10/07/2021,41849951,0
BASMARCORADCV02,0,Successfull,10/02/2021,45329795,5,10/07/2021,44697484,0
BASMARCORCDCV03,0,Successfull,10/02/2021,182590151,5,10/07/2021,181232741,0
BASMARCORCDCV04,0,Successfull,10/02/2021,37503382,5,10/07/2021,37181744,0
BASMARCORSFV01,0,Successfull,10/02/2021,28656320,5,10/07/2021,28315726,0
BASMARCORSFV02,0,Successfull,10/02/2021,26340418,5,10/07/2021,25996657,0
BASMARPERINFV01,0,Successfull,10/02/2021,19459070,5,10/07/2021,19188426,0
BASMARPRDMSGV01,0,Successfull,10/02/2021,52796703,5,10/07/2021,50150123,0
BASOKTPRDAPPV01,0,Successfull,10/01/2021,36603470,6,10/06/2021,36406966,1
BASOKTPRDAPPV02,0,Successfull,10/01/2021,40591879,6,10/06/2021,40358210,1
BASOKTPRDAPPV03,0,Successfull,10/01/2021,41224075,6,10/06/2021,41019075,1
BASOKTPRDAPPV04,0,Successfull,10/01/2021,39883552,6,10/06/2021,39661696,1
BASREPTSAAPPV01,0,Successfull,10/01/2021,261771125,6,10/06/2021,259928680,1
BASREPTSDAPPV01,0,Successfull,10/01/2021,213995012,6,10/06/2021,212303353,1
BASTHCTSDAPPV01,0,Successfull,10/01/2021,149226004,6,10/06/2021,148780927,1
BASVCSPRDAPPV01,0,Successfull,10/02/2021,58312662,5,10/07/2021,58066563,0
BASVCSPRDAPPV02,0,Successfull,10/02/2021,50073549,5,10/07/2021,49864450,0
BASVCSPRDAPPV03,0,Successfull,10/02/2021,53634068,5,10/07/2021,53400887,0
BASVCSPRDAPPV04,0,Successfull,10/02/2021,74118114,5,10/07/2021,73892804,0
BASVCSPRDSQLV01,0,Successfull,10/02/2021,214828365,5,10/07/2021,214345104,0
BASVCSPRDSQLV02,0,Successfull,10/02/2021,110968191,5,10/07/2021,110668457,0
BASVCSPRDSQLV03,0,Successfull,10/02/2021,86115132,5,10/07/2021,85746605,0
BASXDHPRDXDCV01,0,Successfull,10/02/2021,357528025,5,10/07/2021,357546852,0
BASXHSPRDSOLV03,0,Successfull,10/02/2021,68033437,5,10/06/2021,67623552,1
BASXIPDEVADCV01,0,Successfull,10/02/2021,43494721,5,10/07/2021,43300910,0
