Client_Name,Error_Code,Status,Last_Full_Date,Last_Full_Size,Gap_In_Full,Last_Incr_Date,Incr_Size,Incr_gap
basaonprdofsv01.be.xchanginghosting.com,0,Successfull,09/10/2021,50922565,5,09/14/2021,4733828,1
basaonprdofsv02.be.xchanginghosting.com,0,Successfull,09/10/2021,44279804,5,09/14/2021,901434,1
basaonprdofsv03.be.xchanginghosting.com,0,Successfull,09/10/2021,63817072,5,09/14/2021,329306,1
basaonprdofsv04.be.xchanginghosting.com,0,Successfull,09/10/2021,44628655,5,09/14/2021,4683134,1
basaonprdorav01.be.xchanginghosting.com,0,Successfull,09/10/2021,30610507,5,09/14/2021,8369855,1
basaonprdorav02.be.xchanginghosting.com,0,Successfull,09/10/2021,30453816,5,09/14/2021,759895,1
basaonprdorav03.be.xchanginghosting.com,0,Successfull,09/10/2021,223426912,5,09/14/2021,746152,1
basaonprdorav04.be.xchanginghosting.com,0,Successfull,09/10/2021,284748576,5,09/14/2021,8129443,1
basaonprdstgv01.be.xchanginghosting.com,0,Successfull,09/10/2021,25166587,5,09/14/2021,2128,1
basapoprdappv13,0,Successfull,09/10/2021,723717934,5,09/14/2021,3006091,1
basapoprdappv15,0,Successfull,09/10/2021,74888628,5,09/14/2021,1330889,1
basapoprdappv17,0,Successfull,09/10/2021,56485515,5,09/14/2021,1528100,1
basapoprdappv19,0,Successfull,09/10/2021,29904916,5,09/14/2021,1678522,1
basapoprdappv20,0,Successfull,09/10/2021,117592629,5,09/14/2021,8527758,1
basapoprdappv21,0,Successfull,09/10/2021,27193452,5,09/14/2021,1439182,1
basapoprdappv22,0,Successfull,09/10/2021,57797354,5,09/14/2021,1353349,1
basapoprdappv24,0,Successfull,09/10/2021,56184238,5,09/14/2021,6505049,1
basapoprdappv27,0,Successfull,09/10/2021,88113389,5,09/14/2021,1261159,1
basapoprdexcv01.apollo.local,0,Successfull,09/11/2021,4051520257,4,09/14/2021,2489506,1
basapoprdexcv01.be,0,Successfull,09/10/2021,4051861155,5,09/14/2021,973820,1
basapoprdfpsv03,0,Successfull,09/10/2021,50250895,5,09/14/2021,2919599,1
basapoprdfpsv04,0,Successfull,09/10/2021,44176114,5,09/14/2021,1396786,1
basapoprdfpsv05-be,0,Successfull,09/10/2021,2523,5,09/14/2021,2131,1
basapoprdrdpv01,0,Successfull,09/10/2021,62577878,5,09/14/2021,1318015,1
basapoprdrdpv02,0,Successfull,09/10/2021,57815568,5,09/14/2021,1969008,1
basapoprdrdpv03,0,Successfull,09/10/2021,88061483,5,09/14/2021,1420936,1
basapoprdsqlv05,0,Successfull,09/11/2021,1503442449,4,09/14/2021,161520148,1
basapoprdsqlv19,0,Successfull,09/10/2021,2003909565,5,09/14/2021,479907389,1
basapoprdsqlv20,0,Successfull,09/11/2021,1156507961,4,09/14/2021,301795066,1
basapoprdsqlv21,0,Successfull,09/10/2021,538367952,5,09/14/2021,8956770,1
basapoprdsqlv22,0,Successfull,09/11/2021,884870462,4,09/14/2021,69258798,1
basaxxprdappv01,0,Successfull,09/10/2021,40597870,5,09/14/2021,1373823,1
basaxxprdsqlv01,0,Successfull,09/10/2021,920274729,5,09/14/2021,2583313,1
basaxxprdwebv01,0,Successfull,09/10/2021,24632438,5,09/14/2021,1293444,1
basdxcnbmprdv01.mgmt.xchanging.com,0,Successfull,09/13/2021,168843074,2,09/15/2021,73432,0
basapoprdexcv01.be,4207,Failed,09/10/2021,4051861155,5,09/14/2021,973820,1
