Client_Name,Error_Code,Status,Last_Full_Date,Last_Full_Size,Gap_In_Full,Last_Incr_Date,Incr_Size,Incr_gap
actaontrnofsv01.aon.xdf,0,Successfull,10/01/2021,21358750,6,10/06/2021,1326904,1
actaontrnorav01.be.xchanginghosting.com,0,Successfull,10/02/2021,12593922,5,10/06/2021,1021176,1
actaonuatofsv02.be.xchanginghosting.com,0,Successfull,10/01/2021,27388908,6,10/06/2021,829504,1
actaonuatorav02.be.xchanginghosting.com,0,Successfull,10/02/2021,9845705,5,10/06/2021,1049025,1
actaonuatorav03.be.xchanginghosting.com,0,Successfull,10/02/2021,80892075,5,10/06/2021,914897,1
actefstsbappv01,0,Successfull,10/01/2021,134375673,6,10/06/2021,133329970,1
actetldevsqlv04.ad.xglobal.com,0,Successfull,10/02/2021,42673263,5,10/06/2021,15202286,1
actibmtstappl01,0,Successfull,10/01/2021,169142712,6,10/06/2021,168678654,1
actimrdevappl01,0,Successfull,10/01/2021,86830356,6,10/06/2021,86640875,1
actimrdevdatl01,0,Successfull,10/01/2021,24481787,6,10/06/2021,24406997,1
actimrsecwebg01.be.xchanginghosting.com,0,Successfull,10/01/2021,13999,6,10/06/2021,354,1
actimrsecwebg02.be.xchanginghosting.com,0,Successfull,10/01/2021,2752801,6,10/06/2021,1418513,1
actimrtsbappl01,0,Successfull,10/01/2021,387588450,6,10/06/2021,387426963,1
actimrtsbappv01,0,Successfull,10/01/2021,86075610,6,10/06/2021,85625027,1
actimrtsbdatl01,0,Successfull,10/01/2021,51700739,6,10/06/2021,51616229,1
actimrtscappv01.be.xchanginghosting.com,0,Successfull,10/02/2021,29318343,5,10/07/2021,1251797,0
actitcdredatg01.be.xchanginghosting.com,0,Successfull,10/01/2021,12734,6,10/06/2021,25282,1
actitctstappl01,0,Successfull,10/01/2021,4260897,6,10/06/2021,4260897,1
actlgcprdappl05,0,Successfull,10/01/2021,43809231,6,10/06/2021,43690508,1
actlgctstappl01,0,Successfull,10/01/2021,23676964,6,10/06/2021,23611315,1
actlgctstappl02,0,Successfull,10/01/2021,20007405,6,10/06/2021,19941855,1
actlgctstappl03,0,Successfull,10/01/2021,20006528,6,10/06/2021,19940534,1
actmaruatfpsv02.be.xchanginghosting.com,0,Successfull,10/02/2021,16505664,5,10/06/2021,1207847,1
actmaruatorav03.be.xchanginghosting.com,0,Successfull,10/02/2021,442803667,5,10/06/2021,3590614,1
actmaruatorav04.be.xchanginghosting.com,0,Successfull,10/02/2021,13496288,5,10/06/2021,90,1
actmigprddatl01,0,Successfull,10/01/2021,38484204,6,10/06/2021,38398391,1
actpbsdevappl01,0,Successfull,10/01/2021,42251624,6,10/06/2021,42126967,1
actpbstsbappl01,0,Successfull,10/01/2021,49305619,6,10/06/2021,48962263,1
actpbstscappl01,0,Successfull,10/01/2021,47174693,6,10/06/2021,46961028,1
actporuatappg01.be.xchanginghosting.com,0,Successfull,10/01/2021,1445585,6,10/06/2021,9045656,1
actqpadevappl01-Clone,0,Successfull,10/01/2021,10513944,6,10/06/2021,10390986,1
actqpatsbappl01,0,Successfull,10/01/2021,13554023,6,10/06/2021,13423185,1
actrdcdredatg01.be.xchanginghosting.com,0,Successfull,10/01/2021,5227861,6,10/06/2021,32,1
actscatscappv01,0,Successfull,10/01/2021,23501439,6,10/06/2021,23236851,1
actscatscdev05,0,Successfull,10/01/2021,34355330,6,10/06/2021,34056034,1
acttpsdevappv01.be.xchanginghosting.com,0,Successfull,10/02/2021,31570520,5,10/07/2021,2408367,0
actwf2dredatg01.be.xchanginghosting.com,0,Successfull,10/01/2021,75813,6,10/06/2021,32095,1
actxdsdevappl01,0,Successfull,10/01/2021,44964643,6,10/06/2021,44937069,1
actxdstsbappl01,0,Successfull,10/01/2021,18603033,6,10/06/2021,18479604,1
actxhsprdbckl01.be.xchanginghosting.com,0,Successfull,10/01/2021,15139,6,10/06/2021,92831,1
actxhsprdinfg01,0,Successfull,10/01/2021,3251384,6,10/06/2021,40810,1
actxisprdsqlv01.be.xchanginghosting.com,0,Successfull,10/06/2021,0,1,10/07/2021,11,0
actxisprdvcv01.be.xchanginghosting.com,0,Successfull,10/02/2021,54848635,5,10/07/2021,8565725,0
actxomdevappl01,0,Successfull,10/01/2021,91678364,6,10/06/2021,91753088,1
actxomdevdatl01,0,Successfull,10/01/2021,15690688,6,10/06/2021,15609809,1
actxomtsbappl01,0,Successfull,10/01/2021,64532492,6,10/06/2021,64501975,1
actxomtsbdatl01,0,Successfull,10/01/2021,15277204,6,10/06/2021,15191036,1
actxsbdevappl01,0,Successfull,10/01/2021,35883780,6,10/06/2021,35788932,1
actxsbdevappl02,0,Successfull,10/01/2021,31289020,6,10/06/2021,31196724,1
actxsbdreappl01,0,Successfull,10/01/2021,16965240,6,10/06/2021,16885008,1
actxsbdreappl02,0,Successfull,10/01/2021,12285648,6,10/06/2021,12211626,1
actxsbdreappl03,0,Successfull,10/01/2021,12186276,6,10/06/2021,12112890,1
actxsbdreappl04,0,Successfull,10/01/2021,13014190,6,10/06/2021,12939761,1
actxsbdreappl05,0,Successfull,10/01/2021,24200284,6,10/06/2021,24126703,1
actxsbdreappl06,0,Successfull,10/01/2021,17086328,6,10/06/2021,17011130,1
actxsbdreappl07,0,Successfull,10/01/2021,27624818,6,10/06/2021,27551510,1
actxsbdreappl08,0,Successfull,10/01/2021,13438359,6,10/06/2021,13364237,1
actxsbdreappl09,0,Successfull,10/01/2021,13416537,6,10/06/2021,13344554,1
actxsbdreappl10,0,Successfull,10/01/2021,6726790,6,10/06/2021,6653679,1
actxsbdreappl11,0,Successfull,10/01/2021,6802360,6,10/06/2021,6729003,1
actxsbtsbappl01,0,Successfull,10/01/2021,29460131,6,10/06/2021,28052400,1
actxsbtscappl01,0,Successfull,10/01/2021,19860998,6,10/06/2021,19997921,1
actxtsdevsqlv01.be.xchanginghosting.com,0,Successfull,10/01/2021,130019300,6,10/06/2021,11340,1
actxtsprdbcka01,0,Successfull,10/05/2021,150877873,2,10/07/2021,360845,0
actxtsprdexcv21.be.xchanginghosting.com,0,Successfull,10/06/2021,2526870,1,10/07/2021,171620,0
actxtsprdovmv01.be.xchanginghosting.com,0,Successfull,10/01/2021,1550965,6,10/06/2021,33,1
act-xsts-build.be.xchanginghosting.com,1,Successfull,10/01/2021,22271369,6,10/06/2021,1797121,1
actaonuatorav02.be.xchanginghosting.com,1,Successfull,10/02/2021,9845705,5,10/06/2021,1049025,1
actimrtscappv01.be.xchanginghosting.com,1,Successfull,10/02/2021,29318343,5,10/07/2021,1251797,0
actxisprdvcv01.be.xchanginghosting.com,1,Successfull,10/02/2021,54848635,5,10/07/2021,8565725,0
FLKXISGKY,10,Failed,10/01/2021,31962355,6,10/06/2021,31811214,1
actxomdevappl01,11,Failed,10/01/2021,91678364,6,10/06/2021,91753088,1
actxsbdreappl04,11,Failed,10/01/2021,13014190,6,10/06/2021,12939761,1
actaontrnofsv01.aon.xdf,13,Failed,10/01/2021,21358750,6,10/06/2021,1326904,1
actetldevsqlv04.ad.xglobal.com,24,Failed,10/02/2021,42673263,5,10/06/2021,15202286,1
ACTMARDEVMSGV02,40,Failed,10/01/2021,23564567,6,10/05/2021,23265537,2
ACTMARDEVPPSV02,40,Failed,10/01/2021,50317800,6,10/05/2021,49979944,2
ACTVCSTSBAPPV02,40,Failed,10/02/2021,58280787,5,10/07/2021,58008711,0
ACTAPOPRDPFSV01,42,Failed,10/02/2021,790835870,5,10/06/2021,785551528,1
ACTREPUATAPPV01,42,Failed,10/01/2021,246847967,6,10/06/2021,245693457,1
ACTXISDEVQL2V03,42,Failed,10/01/2021,264104680,6,10/06/2021,263768667,1
actimrtscappv01.be.xchanginghosting.com,42,Failed,10/02/2021,29318343,5,10/07/2021,1251797,0
actxisprdvcv01.be.xchanginghosting.com,42,Failed,10/02/2021,54848635,5,10/07/2021,8565725,0
actxomdevappl01,42,Failed,10/01/2021,91678364,6,10/06/2021,91753088,1
