Server,Domain Name,Media Server,Group,Schedule,Client,Job,Proxy,Status,Error Code,Error Code Summary,Status Code,Status Code Summary,Level,Size (GB),Files,Num Files Not Backed Up,Started,Finished,Duration (hour),Throughput (MB/sec),Retention (week),Expires,Owner,Effective Path,Plugin Name,Bytes Modified Sent (GB),Bytes Modified Not Sent (B),Parent Job Id
zfrryb03.otis.com,,zfrryb04,All_Windows_Otis_SQL,Full,ofrryd03.otis.com,C:\,,success,1,,,,Full,16.709,573410,,12/25/21 12:01 PM,12/25/21 1:33 PM,1 hour 32 minutes,3.071,4 weeks 3 days,1/25/22 12:01 PM,root,,Backup,,,413153
zfrryb03.otis.com,,zfrryb04,All_Windows_Otis_SQL,Full,ofrryd03.otis.com,D:\,,success,0,,,,Full,13.012,213019,,12/25/21 12:01 PM,12/25/21 12:39 PM,38 minutes 51 seconds,5.716,4 weeks 3 days,1/25/22 12:01 PM,root,,Backup,,,413153
zfrryb03.otis.com,,zfrryb04,All_Windows_Otis_SQL,Full,ofrryd03.otis.com,E:\,,success,0,,,,Full,12.516,43802,,12/25/21 12:01 PM,12/25/21 12:12 PM,11 minutes 29 seconds,18.601,4 weeks 3 days,1/25/22 12:01 PM,root,,Backup,,,413153
zfrryb03.otis.com,,zfrryb04,All_Windows_Otis_SQL,Full,ofrryd03.otis.com,H:\,,success,0,,,,Full,304.667,33637,,12/25/21 12:01 PM,12/25/21 1:55 PM,1 hour 54 minutes,45.28,4 weeks 3 days,1/25/22 12:01 PM,root,,Backup,,,413153
zfrryb03.otis.com,,zfrryb04,All_Windows_Otis_SQL,Full,ofrryd03.otis.com,Shadow Copy Components:,,success,0,,,,Full,24.594,18448,,12/25/21 12:01 PM,12/25/21 1:05 PM,1 hour 4 minutes,6.557,4 weeks 3 days,1/25/22 12:01 PM,root,,Backup,,,413153
zfrryb03.otis.com,,zfrryb04,All_Windows_Otis_SQL,,ofrryd03.otis.com,ALL_LOCAL_DRIVES,,success,1,,,,Full,0,,,12/25/21 11:59 AM,12/25/21 1:56 PM,1 hour 56 minutes,0,4 weeks 3 days,1/25/22 12:00 PM,root,,Backup,,,
zfrryb03.otis.com,,zfrryb04,Catalog_Full,Full,zfrryb03.otis.com,CATALOG_DRIVEN_BACKUP,,success,0,,,,Full,14.704,8851,,12/26/21 7:04 AM,12/26/21 7:12 AM,7 minutes 12 seconds,34.854,4 weeks 3 days,1/26/22 7:05 AM,root,,Catalog Backup,,,413161
zfrryb03.otis.com,,zfrryb04,Catalog_Full,Full,zfrryb03.otis.com,D:\Program Files\Veritas\NetBackupDB\staging\BMRDB.db,,success,0,,,,Full,0.3,22,,12/26/21 7:00 AM,12/26/21 7:04 AM,4 minutes 9 seconds,1.233,4 weeks 3 days,1/26/22 7:00 AM,SYSTEM,,Catalog Backup,,,413161
zfrryb03.otis.com,,ZFRRYB03.otis.com,Catalog_Full,,zfrryb03.otis.com,CATALOG_DRIVEN_BACKUP,,success,0,,,,Full,0,,,12/26/21 6:59 AM,12/26/21 7:12 AM,12 minutes 28 seconds,0,4 weeks 3 days,1/26/22 7:00 AM,root,,Catalog Backup,,,
zfrryb0k.otis.com,/Remote_Clients,zfrryb0l.otis.com,Admin On-Demand Group,Admin On-Demand Schedule,ohubpa02.otis.com,Windows VSS-/Client On-Demand Data,,success,0,Administrative code.,30000,Activity completed successfully.,Full,0.356,272984,0,12/25/21 9:18 AM,12/25/21 9:50 AM,32 minutes 31 seconds,0.187,4 weeks 1 day,1/24/22 9:18 AM,,/Client On-Demand Data,Windows VSS,0.356,0,
zfrryb0p.otis.com,/zfrrya2a.otis.com/VirtualMachines,zfrryb0q.otis.com,Admin On-Demand Group,Admin On-Demand Schedule,ofrgna1f,Windows VMware Image-/Client On-Demand Data,zfrryb0e.otis.com,success,0,Administrative code.,30000,Activity completed successfully.,Full,4.867,13,0,12/25/21 9:12 AM,12/25/21 9:26 AM,14 minutes 32 seconds,5.716,4 weeks 1 day,1/24/22 9:12 AM,,/Client On-Demand Data,Windows VMware Image,4.867,0,
zfrryb0p.otis.com,/VM_Agent,zfrryb0q.otis.com,Admin On-Demand Group,Admin On-Demand Schedule,ofrgna1f.otis.com,Windows VSS-/Client On-Demand Data,,failed,10007,Command failed: Miscellaneous error,30999,Activity failed - client error(s).,Full,0.407,199270,0,12/25/21 9:08 AM,12/25/21 9:37 AM,29 minutes 1 second,0.24,4 weeks 1 day,1/24/22 9:08 AM,,/Client On-Demand Data,Windows VSS,0.407,0,
zfrryb0p.otis.com,/zfrrya2a.otis.com/VirtualMachines,zfrryb0q.otis.com,Admin On-Demand Group,Admin On-Demand Schedule,onlata0z,Windows VMware Image-/Client On-Demand Data,zfrryb0g.otis.com,success,10020,"Command completed with errors, client log should be examined",30005,Activity completed with exceptions.,Full,107.928,12,0,12/25/21 9:04 AM,12/25/21 10:33 AM,1 hour 28 minutes,20.739,4 weeks 1 day,1/24/22 9:04 AM,,/Client On-Demand Data,Windows VMware Image,107.928,0,
zfrryb0p.otis.com,/VM_Agent,zfrryb0q.otis.com,Admin On-Demand Group,Admin On-Demand Schedule,onlata0z.otis.com,Windows VSS-/Client On-Demand Data,,success,0,Administrative code.,30000,Activity completed successfully.,Full,0.619,601709,0,12/25/21 9:00 AM,12/25/21 9:58 AM,58 minutes 1 second,0.182,4 weeks 1 day,1/24/22 9:00 AM,,/Client On-Demand Data,Windows VSS,0.619,0,
